 Q (1/Ang),U-U  ,U-Cl ,Cl-Cl
   4.76000 ,     0.268288010146034E+00 ,     0.211849191914154E+00 ,    -0.268149162842196E-01 , 
   4.78000 ,     0.125607845091819E+00 ,     0.231708832508181E+00 ,    -0.262384689811323E-01 , 
   4.80000 ,    -0.987589737983450E-02 ,     0.239918790617293E+00 ,    -0.162531016101983E-01 , 
   4.82000 ,    -0.123576422358295E+00 ,     0.237235736095432E+00 ,     0.689064766244786E-03 , 
   4.84000 ,    -0.210390949397217E+00 ,     0.233197026389384E+00 ,     0.157745044458623E-01 , 
   4.86000 ,    -0.259328525976640E+00 ,     0.237816448575421E+00 ,     0.196311083827967E-01 , 
   4.88000 ,    -0.250563815193592E+00 ,     0.253642502970004E+00 ,     0.868554455579438E-02 , 
   4.90000 ,    -0.170776173712855E+00 ,     0.274084747270336E+00 ,    -0.123958878360483E-01 , 
   4.92000 ,    -0.349835121291431E-01 ,     0.288857900372257E+00 ,    -0.337485928020389E-01 , 
   4.94000 ,     0.105982876105595E+00 ,     0.291926603015221E+00 ,    -0.465029155806776E-01 , 
   4.96000 ,     0.185071950057381E+00 ,     0.285636590444177E+00 ,    -0.477693408386110E-01 , 
   4.98000 ,     0.157830960782780E+00 ,     0.277981248737018E+00 ,    -0.412483481745145E-01 , 
   5.00000 ,     0.350147336166959E-01 ,     0.275519728955901E+00 ,    -0.336413568752247E-01 , 
   5.02000 ,    -0.116516089472665E+00 ,     0.277925926041537E+00 ,    -0.299483973952887E-01 , 
   5.04000 ,    -0.210439583805456E+00 ,     0.278770724306898E+00 ,    -0.311106610508302E-01 , 
   5.06000 ,    -0.194412996821241E+00 ,     0.271986992052883E+00 ,    -0.352191284097794E-01 , 
   5.08000 ,    -0.852949003698380E-01 ,     0.258603254487765E+00 ,    -0.405714283090422E-01 , 
   5.10000 ,     0.392564527974162E-01 ,     0.247696551953981E+00 ,    -0.475571930090172E-01 , 
   5.12000 ,     0.899026067381247E-01 ,     0.249837518529434E+00 ,    -0.576369517722014E-01 , 
   5.14000 ,     0.245668888871301E-01 ,     0.267427042679361E+00 ,    -0.704139663559321E-01 , 
   5.16000 ,    -0.121666452170895E+00 ,     0.289510909265929E+00 ,    -0.816948696966923E-01 , 
   5.18000 ,    -0.256262160286440E+00 ,     0.296161876117107E+00 ,    -0.848764333806195E-01 , 
   5.20000 ,    -0.286543526950198E+00 ,     0.270787995138347E+00 ,    -0.753267647027030E-01 , 
   5.22000 ,    -0.177811654533383E+00 ,     0.212520290336933E+00 ,    -0.547213905055936E-01 , 
   5.24000 ,     0.247390758949395E-01 ,     0.139822837954149E+00 ,    -0.317616929637875E-01 , 
   5.26000 ,     0.223174028298378E+00 ,     0.817774738765370E-01 ,    -0.179705826728192E-01 , 
   5.28000 ,     0.324147088226262E+00 ,     0.617209982358235E-01 ,    -0.208116633986803E-01 , 
   5.30000 ,     0.289538382074344E+00 ,     0.834025282315575E-01 ,    -0.386179354273791E-01 , 
   5.32000 ,     0.150511481396668E+00 ,     0.128638778994324E+00 ,    -0.609786070554473E-01 , 
   5.34000 ,    -0.192314810512007E-01 ,     0.168171720021543E+00 ,    -0.747274945100848E-01 , 
   5.36000 ,    -0.149313577606224E+00 ,     0.178887446008608E+00 ,    -0.718669137915928E-01 , 
