Time       moves_acc moves_gen     G(r)_1     S(Q)_1   Tail_fine  Curvature  Curvature  Curvature
h/m/s/.th    WEIGHT PARAMETERS   0.100E+01  0.100E+01  0.100E+01  0.100E+01  0.100E+01  0.100E+01
221145.845     1139738     6167408  0.729E-03  0.590E-02  0.648E+05  0.137E+01  0.105E+03  0.269E+02
222145.848     1142568     6194497  0.729E-03  0.587E-02  0.251E+07  0.135E+01  0.104E+03  0.204E+02
223145.840     1145589     6221914  0.727E-03  0.583E-02  0.395E+05  0.135E+01  0.103E+03  0.262E+02
224145.883     1148420     6249303  0.712E-03  0.580E-02  0.524E+05  0.138E+01  0.108E+03  0.272E+02
225145.855     1151200     6276682  0.701E-03  0.577E-02  0.435E+05  0.139E+01  0.108E+03  0.282E+02
230145.987     1153909     6304114  0.711E-03  0.640E-02  0.419E+05  0.139E+01  0.111E+03  0.359E+02
231145.835     1156608     6331535  0.666E-03  0.573E-02  0.292E+05  0.138E+01  0.110E+03  0.398E+02
232145.831     1159863     6358690  0.680E-03  0.569E-02  0.631E+05  0.140E+01  0.105E+03  0.323E+02
233145.838     1163029     6385928  0.703E-03  0.564E-02  0.101E+06  0.138E+01  0.978E+02  0.245E+02
234145.846     1165867     6413296  0.689E-03  0.561E-02  0.697E+05  0.134E+01  0.103E+03  0.306E+02
235145.822     1168966     6440479  0.712E-03  0.556E-02  0.146E+06  0.133E+01  0.959E+02  0.218E+02
000145.840     1172002     6467786  0.700E-03  0.552E-02  0.561E+05  0.135E+01  0.101E+03  0.272E+02
001145.844     1174831     6495134  0.684E-03  0.549E-02  0.580E+05  0.137E+01  0.113E+03  0.261E+02
002145.825     1178047     6522233  0.700E-03  0.545E-02  0.956E+05  0.137E+01  0.101E+03  0.209E+02
003145.897     1180954     6549557  0.684E-03  0.542E-02  0.818E+05  0.141E+01  0.107E+03  0.274E+02
004145.844     1183782     6576927  0.675E-03  0.539E-02  0.758E+05  0.141E+01  0.110E+03  0.255E+02
005145.841     1186538     6604263  0.672E-03  0.536E-02  0.610E+05  0.141E+01  0.106E+03  0.264E+02
010145.850     1189261     6631566  0.657E-03  0.533E-02  0.761E+05  0.139E+01  0.111E+03  0.301E+02
011145.823     1192328     6658656  0.679E-03  0.529E-02  0.687E+05  0.140E+01  0.103E+03  0.208E+02
012145.846     1195199     6685959  0.668E-03  0.525E-02  0.543E+05  0.136E+01  0.104E+03  0.267E+02
