 Q (1/Ang),Yb-Yb,Yb-Sn,Yb-O ,Sn-Sn,Sn-O ,O-O  
   1.94000 ,    -0.996981766336806E+01 ,     0.124342906371949E+02 ,     0.183685431586120E+01 ,    -0.102492100679329E+02 ,    -0.237341510368441E+01 ,    -0.166700371768375E+01 , 
   1.95000 ,    -0.607200155266778E+01 ,     0.116001998913979E+02 ,     0.143200154645591E+01 ,    -0.624714374814202E+01 ,    -0.821725145051810E+00 ,    -0.209039011716438E+01 , 
   1.96000 ,    -0.872921858732650E+00 ,     0.700370014349223E+01 ,     0.414899075696986E+00 ,    -0.916669657572308E+00 ,     0.121082940826279E+01 ,    -0.231695816941985E+01 , 
   1.97000 ,     0.499919998264050E+01 ,    -0.117921638965746E+01 ,    -0.118259618446266E+01 ,     0.508787467508648E+01 ,     0.342854577354413E+01 ,    -0.222354300347064E+01 , 
   1.98000 ,     0.108092217777077E+02 ,    -0.120184282090386E+02 ,    -0.321578942201463E+01 ,     0.110060713935025E+02 ,     0.551757897801904E+01 ,    -0.175653412389265E+01 , 
   1.99000 ,     0.158597972769888E+02 ,    -0.239476808500999E+02 ,    -0.544174564930258E+01 ,     0.161219445881349E+02 ,     0.720622289508644E+01 ,    -0.952969532660223E+00 , 
   2.00000 ,     0.196291679025398E+02 ,    -0.350179882957131E+02 ,    -0.755450042657920E+01 ,     0.199058918309888E+02 ,     0.831117908949980E+01 ,     0.599130154674745E-01 , 
   2.01000 ,     0.218722688266642E+02 ,    -0.432402856087062E+02 ,    -0.923546082368603E+01 ,     0.221173189777425E+02 ,     0.876070263634399E+01 ,     0.108793258709614E+01 , 
   2.02000 ,     0.226627255702852E+02 ,    -0.469515202555989E+02 ,    -0.102101006470706E+02 ,     0.228452431642287E+02 ,     0.859164049674577E+01 ,     0.191159901512030E+01 , 
   2.03000 ,     0.223657344526169E+02 ,    -0.451322421078952E+02 ,    -0.103001889128779E+02 ,     0.224772404722409E+02 ,     0.792385424470894E+01 ,     0.233684682264545E+01 , 
   2.04000 ,     0.215467107459761E+02 ,    -0.376125550397325E+02 ,    -0.946102025511057E+01 ,     0.216025933432979E+02 ,     0.692071105565913E+01 ,     0.224284714173381E+01 , 
   2.05000 ,     0.208347426872779E+02 ,    -0.251251939190437E+02 ,    -0.779551687021496E+01 ,     0.208699920649153E+02 ,     0.574698881468209E+01 ,     0.161500633952827E+01 , 
   2.06000 ,     0.207701905708443E+02 ,    -0.919484006976237E+01 ,    -0.554127025518165E+01 ,     0.208304725603338E+02 ,     0.453511979757947E+01 ,     0.554348560330273E+00 , 
   2.07000 ,     0.216698816313417E+02 ,     0.811484208616635E+01 ,    -0.303181708208222E+01 ,     0.218000959298976E+02 ,     0.336745345090437E+01 ,    -0.740125585475724E+00 , 
